loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,revol_util,loan_status,grade,term,home_ownership
16795,7.96,108090,27.51,1,63.7,Fully Paid,E, 60 months,RENT
1860,18.59,69853,20.32,0,35.86,Fully Paid,B, 60 months,RENT
12284,9.5,51826,31.23,2,63.32,Fully Paid,B, 60 months,OWN
7265,13.63,62879,33.73,1,36.8,Fully Paid,D, 36 months,RENT
17850,19.38,77265,23.4,0,14.99,Fully Paid,E, 36 months,MORTGAGE
22962,16.27,92361,24.95,2,10.23,Fully Paid,E, 36 months,RENT
17023,13.55,128956,11.67,4,19.1,Fully Paid,G, 60 months,RENT
2685,11.53,97990,35.85,2,81.3,Fully Paid,D, 60 months,OWN
1769,21.79,109787,1.46,4,96.53,Charged Off,F, 60 months,RENT
3433,7.88,106184,14.27,4,48.43,Fully Paid,C, 60 months,OWN
6311,13.6,60736,29.01,4,56.14,Fully Paid,F, 60 months,OWN
18568,23.08,44530,3.66,3,23.22,Fully Paid,A, 60 months,MORTGAGE
20769,21.92,98052,7.74,3,59.59,Charged Off,D, 36 months,RENT
29693,13.02,67058,23.78,4,23.02,Charged Off,C, 60 months,MORTGAGE
7396,20.26,126080,22.62,0,65.01,Fully Paid,F, 36 months,MORTGAGE
28480,21.46,94094,29.69,4,93.99,Fully Paid,F, 36 months,RENT
26658,22.78,94255,32.6,1,27.61,Fully Paid,E, 36 months,RENT
19942,15.89,24886,5.58,4,78.81,Fully Paid,D, 60 months,OWN
19431,9.09,146598,1.23,3,12.12,Fully Paid,A, 60 months,RENT
3747,10.11,113721,27.74,3,43.79,Fully Paid,B, 60 months,OWN
1189,10.91,138623,12.4,1,19.97,Fully Paid,D, 60 months,MORTGAGE
20118,16.88,57387,25.23,1,41.72,Fully Paid,A, 60 months,MORTGAGE
2899,5.66,41575,6.45,2,25.62,Fully Paid,A, 36 months,OWN
2267,17.72,132260,19.03,0,43.6,Fully Paid,D, 36 months,RENT
32551,12.29,128649,20.42,0,47.58,Fully Paid,C, 60 months,RENT
12394,10.9,59643,23.61,0,37.05,Charged Off,D, 36 months,OWN
4556,22.59,30100,20.77,3,69.1,Fully Paid,F, 36 months,MORTGAGE
4890,14.2,80356,20.08,0,92.7,Charged Off,G, 60 months,OWN
31740,6.9,27856,13.64,2,46.05,Fully Paid,E, 36 months,RENT
15502,21.53,58169,3.31,2,27.31,Charged Off,F, 36 months,RENT
22777,5.95,48804,4.04,0,34.37,Charged Off,A, 60 months,OWN
11627,19.53,149557,17.63,1,86.86,Fully Paid,A, 36 months,RENT
9792,20.48,55790,14.55,2,61.45,Charged Off,B, 60 months,MORTGAGE
9433,12.05,50988,20.89,1,50.95,Fully Paid,A, 60 months,OWN
12016,21.5,129979,12.54,3,23.47,Fully Paid,G, 60 months,MORTGAGE
24897,15.31,96448,27.67,2,50.48,Fully Paid,B, 36 months,MORTGAGE
3612,14.27,58506,34.63,1,35.06,Fully Paid,A, 36 months,OWN
24483,5.91,133430,12.31,0,94.88,Fully Paid,A, 36 months,OWN
18159,10.8,107904,8.12,3,89.57,Charged Off,D, 60 months,RENT
15541,23.62,87306,5.09,4,17.55,Fully Paid,D, 36 months,RENT
27531,12.84,32305,24.84,4,56.5,Fully Paid,E, 36 months,OWN
2585,15.93,29969,18.03,0,30.26,Fully Paid,F, 60 months,OWN
4943,15.64,32404,7.93,3,46.97,Fully Paid,C, 60 months,RENT
24939,16.81,28989,26.3,3,88.92,Fully Paid,E, 60 months,RENT
20457,6.23,85305,6.37,3,57.48,Charged Off,A, 36 months,RENT
2021,12.24,55983,22.39,3,40.08,Fully Paid,E, 60 months,OWN
12653,19.46,130284,21.32,4,28.71,Fully Paid,D, 36 months,OWN
14417,9.01,59462,29.5,1,82.03,Charged Off,F, 60 months,RENT
10692,9.07,39360,2.68,3,66.21,Fully Paid,A, 60 months,MORTGAGE
7873,5.2,105657,35.57,1,52.13,Fully Paid,A, 60 months,MORTGAGE
6675,13.75,46287,28.27,3,29.57,Fully Paid,E, 60 months,RENT
1161,22.65,85472,9.04,2,40.08,Fully Paid,F, 36 months,OWN
27557,6.04,135440,7.74,2,96.39,Charged Off,G, 36 months,OWN
34763,8.82,128965,17.55,2,56.81,Fully Paid,B, 36 months,MORTGAGE
33606,11.2,81313,32.79,3,46.06,Fully Paid,G, 60 months,RENT
12534,19.63,54160,33.8,1,56.93,Fully Paid,C, 36 months,MORTGAGE
30127,17.81,26789,21.06,4,80.11,Fully Paid,F, 60 months,MORTGAGE
26851,13.32,47181,34.5,0,40.61,Charged Off,E, 60 months,RENT
2016,20.18,34385,0.72,4,26.08,Charged Off,G, 36 months,MORTGAGE
25253,17.19,102597,1.89,3,62.64,Charged Off,E, 60 months,OWN
25276,22.92,85641,36.52,2,69.87,Fully Paid,C, 60 months,MORTGAGE
24247,21.36,64247,31.13,2,74.14,Fully Paid,A, 36 months,RENT
25300,10.06,106673,18.3,1,89.38,Fully Paid,A, 36 months,OWN
9529,10.43,120250,30.27,3,43.41,Fully Paid,B, 60 months,OWN
18262,7.51,25544,38.25,4,16.78,Fully Paid,E, 36 months,MORTGAGE
10268,11.74,135783,31.0,3,96.25,Fully Paid,C, 60 months,OWN
22271,24.99,33275,33.77,3,49.15,Charged Off,E, 36 months,RENT
13185,13.12,125289,30.54,2,66.09,Fully Paid,D, 60 months,MORTGAGE
22243,9.41,83248,7.14,4,69.97,Fully Paid,E, 60 months,OWN
9571,20.25,54550,33.43,0,59.19,Fully Paid,E, 60 months,RENT
3568,15.85,73693,8.21,2,28.47,Fully Paid,D, 36 months,MORTGAGE
3027,7.99,148924,35.76,4,77.96,Fully Paid,D, 36 months,RENT
3695,12.61,39641,18.62,1,82.34,Fully Paid,G, 60 months,OWN
6258,13.29,91749,27.24,2,59.77,Fully Paid,C, 36 months,MORTGAGE
23002,20.08,144877,20.14,1,53.97,Fully Paid,G, 36 months,MORTGAGE
34159,5.41,100021,4.21,2,20.25,Charged Off,A, 36 months,OWN
14986,10.38,35605,11.98,3,17.56,Fully Paid,B, 60 months,RENT
13666,15.35,123173,39.36,4,40.56,Fully Paid,G, 36 months,OWN
4561,10.38,70713,38.45,1,37.98,Fully Paid,D, 36 months,MORTGAGE
27854,17.57,40390,13.16,2,95.83,Fully Paid,A, 36 months,MORTGAGE
23662,14.64,95403,39.85,1,80.53,Charged Off,C, 60 months,OWN
9392,12.23,78466,33.9,2,69.39,Fully Paid,F, 60 months,RENT
31535,23.98,23981,24.63,2,56.59,Fully Paid,E, 60 months,OWN
14067,17.64,29493,2.08,0,25.06,Charged Off,C, 36 months,RENT
24599,7.6,91218,36.11,0,98.06,Fully Paid,C, 60 months,RENT
12837,16.2,91318,22.52,0,43.75,Fully Paid,D, 36 months,MORTGAGE
15039,20.61,135631,34.8,1,19.62,Fully Paid,B, 36 months,RENT
31818,19.17,139238,33.46,3,54.44,Fully Paid,G, 60 months,MORTGAGE
20115,8.44,115335,33.4,2,88.66,Charged Off,D, 36 months,RENT
11965,24.45,127441,28.08,4,89.86,Fully Paid,E, 60 months,RENT
25538,13.98,36984,12.01,0,10.99,Fully Paid,D, 36 months,MORTGAGE
6056,8.18,145580,13.78,1,89.77,Fully Paid,E, 36 months,RENT
33482,8.6,131316,12.68,1,34.43,Fully Paid,D, 36 months,OWN
9110,6.96,42760,1.29,1,13.51,Fully Paid,F, 36 months,RENT
14773,21.07,111529,23.51,4,86.3,Fully Paid,B, 36 months,MORTGAGE
28266,7.44,21524,28.1,4,87.75,Fully Paid,F, 60 months,MORTGAGE
18412,7.5,138454,34.23,0,63.66,Fully Paid,A, 60 months,OWN
34270,22.01,69402,6.04,4,61.7,Charged Off,B, 60 months,RENT
7910,11.89,111656,22.0,0,83.18,Fully Paid,G, 60 months,OWN
26446,5.62,85614,0.82,4,80.77,Fully Paid,D, 36 months,RENT
1206,6.04,55891,4.26,4,90.11,Fully Paid,C, 36 months,OWN
22518,7.84,111009,2.64,4,59.75,Charged Off,A, 60 months,MORTGAGE
23361,9.27,59832,29.16,0,97.09,Charged Off,C, 60 months,MORTGAGE
24419,18.3,65836,3.7,2,99.65,Charged Off,F, 36 months,OWN
23403,8.15,93953,28.8,0,20.49,Fully Paid,G, 60 months,RENT
19141,7.38,33362,10.36,2,86.46,Charged Off,B, 36 months,RENT
15820,20.29,86745,35.17,1,54.98,Fully Paid,G, 36 months,MORTGAGE
7374,18.42,57921,32.62,1,44.88,Fully Paid,A, 60 months,RENT
2678,13.71,90434,38.33,0,65.18,Fully Paid,F, 36 months,OWN
34827,15.99,147717,35.41,2,15.04,Charged Off,D, 36 months,OWN
17198,11.24,38562,37.37,2,55.58,Charged Off,C, 60 months,RENT
10914,14.65,84510,34.42,2,88.38,Charged Off,D, 60 months,MORTGAGE
28890,15.13,96407,27.89,1,29.21,Charged Off,E, 36 months,MORTGAGE
23299,12.74,27610,7.23,0,48.38,Fully Paid,G, 60 months,MORTGAGE
3693,23.13,129381,11.23,3,94.55,Fully Paid,A, 36 months,MORTGAGE
30467,5.32,112918,8.9,2,48.57,Fully Paid,C, 60 months,MORTGAGE
30723,20.64,35791,24.34,2,42.25,Charged Off,B, 36 months,OWN
4627,7.49,78047,20.39,3,49.65,Fully Paid,B, 36 months,RENT
26939,20.95,120848,34.75,0,56.75,Charged Off,B, 36 months,OWN
22834,17.32,123826,38.13,2,66.88,Fully Paid,F, 36 months,MORTGAGE
19047,21.87,87906,16.49,0,82.06,Fully Paid,B, 36 months,MORTGAGE
27105,6.95,39665,20.5,2,50.69,Fully Paid,C, 36 months,RENT
11230,16.18,90246,38.87,4,83.57,Fully Paid,G, 36 months,RENT
16707,15.02,85864,11.41,2,58.03,Charged Off,G, 36 months,RENT
22976,19.12,66451,31.8,4,40.46,Fully Paid,G, 36 months,OWN
24776,15.69,123883,9.4,0,69.22,Fully Paid,F, 60 months,RENT
31080,15.81,106148,27.42,2,74.6,Fully Paid,E, 36 months,OWN
2306,13.59,65890,10.52,1,60.22,Fully Paid,B, 60 months,MORTGAGE
7776,11.18,26794,35.41,1,15.1,Fully Paid,G, 60 months,OWN
28251,14.65,52888,22.68,3,25.29,Fully Paid,B, 60 months,RENT
10474,7.37,26749,7.84,1,35.68,Charged Off,F, 36 months,OWN
22959,24.23,66531,9.36,4,35.44,Fully Paid,B, 36 months,OWN
6530,19.29,135652,20.01,1,70.61,Fully Paid,E, 60 months,OWN
30320,24.05,40608,38.48,1,11.65,Fully Paid,F, 36 months,RENT
4748,9.53,100986,30.9,1,78.01,Fully Paid,F, 36 months,OWN
32968,22.59,89211,19.79,2,33.88,Fully Paid,A, 36 months,RENT
33562,21.18,140382,13.84,3,37.9,Fully Paid,F, 36 months,OWN
14545,18.54,103996,22.2,0,57.51,Fully Paid,B, 36 months,OWN
1663,17.5,76017,30.06,3,29.43,Fully Paid,F, 36 months,OWN
8994,11.33,123947,31.47,4,89.6,Fully Paid,B, 60 months,RENT
29021,21.33,77676,13.32,2,17.68,Charged Off,B, 60 months,RENT
31303,15.03,31560,28.99,2,49.99,Charged Off,G, 60 months,RENT
4304,6.42,74401,26.48,1,86.45,Fully Paid,F, 60 months,MORTGAGE
18675,11.26,70468,38.38,1,65.43,Fully Paid,A, 60 months,RENT
24938,23.71,135884,37.28,4,36.31,Fully Paid,B, 36 months,OWN
24664,22.01,52463,31.68,2,47.87,Fully Paid,G, 36 months,MORTGAGE
2636,24.64,51663,29.07,0,73.6,Charged Off,A, 36 months,RENT
21080,17.56,133687,11.32,3,97.59,Charged Off,A, 60 months,RENT
28728,9.95,88706,33.92,2,90.38,Fully Paid,F, 60 months,MORTGAGE
27736,8.26,78773,17.39,0,40.82,Fully Paid,D, 36 months,MORTGAGE
29673,8.74,53123,11.25,0,99.84,Fully Paid,G, 60 months,RENT
1854,5.4,114346,15.67,3,10.32,Fully Paid,D, 36 months,MORTGAGE
25548,12.81,29718,33.52,0,12.49,Charged Off,B, 36 months,OWN
8392,8.83,146777,6.37,4,84.15,Fully Paid,C, 36 months,OWN
22556,13.23,82637,18.52,0,27.95,Fully Paid,D, 60 months,OWN
27309,23.7,20028,19.95,4,15.47,Fully Paid,G, 60 months,RENT
22919,13.61,82370,1.95,0,31.34,Fully Paid,F, 36 months,OWN
5931,22.56,67599,8.23,1,48.35,Fully Paid,G, 36 months,MORTGAGE
33970,17.11,37397,33.16,0,75.75,Fully Paid,F, 60 months,OWN
13688,9.94,129198,33.32,4,66.19,Fully Paid,D, 60 months,MORTGAGE
26342,12.12,127323,12.05,0,31.39,Fully Paid,C, 60 months,OWN
3327,6.68,65406,35.06,0,55.29,Charged Off,E, 60 months,MORTGAGE
1197,11.67,67657,30.99,0,93.36,Fully Paid,B, 36 months,OWN
24509,18.55,87560,17.01,4,83.35,Charged Off,G, 36 months,OWN
16087,6.44,143178,30.06,0,39.09,Fully Paid,E, 60 months,OWN
23671,9.11,124143,38.47,3,98.4,Fully Paid,E, 60 months,MORTGAGE
26184,12.63,144745,18.63,3,73.78,Charged Off,A, 60 months,MORTGAGE
28848,24.64,146896,9.92,4,15.62,Fully Paid,A, 60 months,OWN
21666,20.7,33503,37.7,1,13.16,Charged Off,B, 36 months,MORTGAGE
16708,19.67,74943,24.35,3,25.16,Fully Paid,C, 60 months,MORTGAGE
27370,7.32,95839,4.66,2,75.51,Fully Paid,A, 60 months,RENT
3811,20.62,102674,23.12,3,26.54,Fully Paid,G, 36 months,OWN
7546,20.71,45345,20.27,2,56.03,Charged Off,G, 60 months,MORTGAGE
31206,17.02,138423,34.3,4,18.39,Charged Off,D, 36 months,MORTGAGE
12411,24.81,70390,21.46,1,92.88,Fully Paid,G, 36 months,MORTGAGE
3911,11.51,115041,10.58,2,40.96,Fully Paid,B, 36 months,MORTGAGE
2734,23.83,79557,27.19,2,91.73,Fully Paid,F, 60 months,RENT
19227,23.29,85054,21.93,3,95.04,Charged Off,E, 36 months,MORTGAGE
9680,5.23,21906,9.71,2,10.55,Fully Paid,G, 60 months,MORTGAGE
20360,14.0,60167,23.16,4,51.77,Fully Paid,B, 60 months,RENT
19343,24.54,27961,32.95,4,12.22,Fully Paid,F, 36 months,OWN
6759,7.06,46140,1.63,4,91.78,Fully Paid,F, 36 months,OWN
24078,15.96,144098,25.42,3,56.66,Fully Paid,A, 36 months,RENT
12111,24.58,139289,14.31,1,16.74,Charged Off,F, 60 months,OWN
2802,16.11,78701,12.06,3,19.92,Fully Paid,C, 60 months,OWN
9155,8.8,97567,16.01,4,44.52,Charged Off,F, 36 months,RENT
9120,16.64,100664,14.01,3,94.62,Fully Paid,F, 60 months,MORTGAGE
22918,9.09,101199,33.37,4,72.36,Fully Paid,E, 36 months,RENT
21445,15.39,149856,11.35,0,88.09,Fully Paid,C, 60 months,RENT
